particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,737.782288,716.636414,-215.509125,3.50879717,3.01835585,3.35346198,-0.947010159,0.105658367,-1
4503599660924928,-13,0,364.952362,961.613342,-1261.19446,5.44762993,0.84529227,1.33863103,-1.91835535,0.105658367,1
4503599677702144,-13,0,1028.43799,14.3415432,178.058212,3.48567271,4.35803461,-0.246358916,0.749728858,0.105658367,1
4503599694479360,13,0,741.274963,713.023071,614.365784,4.03440619,0.688614905,1.08887887,0.763044477,0.105658367,-1
