particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,528.893433,882.13501,-1305.5542,5.64799213,0.582484365,0.371360898,-0.847906411,0.105658367,1
4503599660924928,13,0,-103.48317,1023.31897,-2995.28711,10.5962362,-0.386842847,0.786438644,-2.50419116,0.105658367,-1
4503599677702144,-13,0,1026.05823,-71.3797302,-202.52269,3.50379395,3.12430692,-0.525622964,-0.623115659,0.105658367,1
4503599694479360,13,0,-444.087952,927.72644,-1796.28967,6.9827795,-0.559352338,0.451770335,-1.22105348,0.105658367,-1
