particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,790.083496,658.527588,-1077.73096,5.02935505,0.478537381,0.793782473,-0.955827773,0.105658367,-1
4503599660924928,13,0,893.328064,509.760223,620.557739,4.03552246,1.12112188,0.99546349,0.895593762,0.105658367,-1
4503599677702144,-13,0,890.909973,513.974548,-266.440674,3.54924154,3.36836648,1.58180034,-0.957742453,0.105658367,1
4503599694479360,13,0,1017.95758,147.148956,-201.761047,3.50282407,3.19538903,0.771892607,-0.646331549,0.105658367,-1
