particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,795.656921,651.782593,99.1478577,3.46844792,1.59953725,0.914786756,0.174870953,0.105658367,1
4503599660924928,-13,0,973.480469,332.003265,587.168152,3.9553318,3.53117919,0.878460765,2.07134795,0.105658367,1
4503599677702144,13,0,637.899841,806.829712,833.7854,4.4820466,0.315370589,0.893758535,0.750954449,0.105658367,-1
4503599694479360,-13,0,806.393433,638.451294,1794.21619,6.94173956,0.884470046,0.310229242,1.5920893,0.105658367,1
