particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,423.4263,937.336975,-284.11557,3.56317902,1.48221135,4.02710056,-1.18287122,0.105658367,-1
4503599660924928,13,0,5.66134787,1028.52246,-88.3288651,3.4472785,-0.286911786,4.35540533,-0.375154644,0.105658367,-1
4503599677702144,13,0,173.959579,1013.72015,423.542236,3.71389413,0.437673122,4.36647272,1.80641687,0.105658367,-1
4503599694479360,-13,0,708.286743,745.801819,-13.3899584,3.46379876,1.22561228,0.846041322,-0.0169631056,0.105658367,1
