particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,190.517105,1010.7392,-535.878235,3.87403846,0.329088748,3.35690093,-1.75857341,0.105658367,-1
4503599660924928,13,0,-133.081329,1019.89209,-625.965027,4.03786659,-0.525905967,1.6412636,-1.04945278,0.105658367,-1
4503599677702144,-13,0,999.579773,242.344299,-1086.99243,5.00094128,2.3489213,0.249679878,-2.4930768,0.105658367,1
4503599694479360,13,0,-270.422516,992.351807,-813.201172,4.41829014,-0.588656425,0.986636996,-0.901965499,0.105658367,-1
