particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,993.359131,266.698547,-464.607697,3.77673197,2.28599048,0.303521574,-1.03664804,0.105658367,1
4503599660924928,-13,0,609.989014,828.132751,1088.70825,5.00660992,1.52320778,1.5469383,2.28583622,0.105658367,1
4503599677702144,-13,0,530.376587,881.24408,-701.969727,4.15991592,1.86982036,2.51242971,-2.13190484,0.105658367,1
4503599694479360,13,0,408.287415,944.029602,-1323.93542,5.65486336,0.0420061909,0.86911732,-1.09332609,0.105658367,-1
