particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,957.42157,375.811707,-406.771606,3.701823,2.0373013,1.13350964,-0.921163917,0.105658367,-1
4503599660924928,13,0,953.306091,386.13208,-1726.50342,6.71059847,2.02041745,1.15176737,-3.888237,0.105658367,-1
4503599677702144,-13,0,257.391418,995.811279,-1302.80103,5.54318666,0.974776506,2.52006245,-3.42226052,0.105658367,1
4503599694479360,-13,0,350.291901,967.050171,-1817.2511,7.0047307,0.604245424,0.764438987,-1.70062602,0.105658367,1
