particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,976.185059,323.964722,-577.4823,3.96038365,1.37966549,0.785750747,-0.880714715,0.105658367,-1
4503599660924928,13,0,247.783173,998.245422,66.1874008,3.44116807,0.839535475,4.65382004,0.301766396,0.105658367,-1
4503599677702144,13,0,-68.5923767,1026.24829,464.841095,3.77016425,-0.542189062,3.52766228,1.60695827,0.105658367,-1
4503599694479360,-13,0,1024.51428,-90.8895798,831.769958,4.42297029,2.25521994,-0.509412646,1.86472189,0.105658367,1
