particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,482.330353,908.43158,-84.8485718,3.47062707,0.470855862,1.54607093,-0.130294576,0.105658367,-1
4503599660924928,13,0,147.860352,1017.85449,-662.684937,4.08502913,0.280072838,4.06419992,-2.62073469,0.105658367,-1
4503599677702144,13,0,-38.5770531,1027.81433,-572.832703,3.93442607,-0.420862526,2.90489268,-1.6351192,0.105658367,-1
4503599694479360,-13,0,532.951294,879.689392,682.671509,4.1287179,1.45583451,1.8193562,1.53475356,0.105658367,1
