particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,1018.62036,142.488647,-518.190918,3.84749341,3.34858608,0.152658775,-1.69029248,0.105658367,1
4503599660924928,-13,0,1027.77515,-39.6072121,-301.979919,3.57940793,4.34321976,-0.47778818,-1.27807486,0.105658367,1
4503599677702144,13,0,849.966492,579.178223,-385.284088,3.66758657,3.28801608,2.62282825,-1.56734383,0.105658367,-1
4503599694479360,-13,0,323.451874,976.355103,-1186.98694,5.24452019,1.22085083,2.70529199,-3.42043042,0.105658367,1
