particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,880.042358,532.368225,-84.6669846,3.4476409,3.34655499,1.66319346,-0.308902264,0.105658367,1
4503599660924928,-13,0,987.734802,286.828186,-110.804817,3.46347404,2.36730552,0.365097612,-0.251200378,0.105658367,1
4503599677702144,13,0,67.3453293,1026.33093,-542.93927,3.88666654,-0.114151783,3.02944231,-1.59486091,0.105658367,-1
4503599694479360,13,0,642.953308,802.808533,-1147.83899,5.14660406,1.61443508,2.51044703,-3.32468557,0.105658367,-1
