particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,493.274506,902.535706,-36.9792938,3.4376359,2.20438457,3.38817596,-0.145346895,0.105658367,1
4503599660924928,-13,0,405.909943,945.05426,-1154.47559,5.21395588,0.636164606,0.698905647,-1.0572412,0.105658367,1
4503599677702144,-13,0,758.229309,694.966797,-787.419312,4.32868958,2.18986821,1.59372306,-2.06965995,0.105658367,1
4503599694479360,13,0,1016.25385,158.488403,234.895187,3.52694345,2.93558049,0.768549025,0.687068224,0.105658367,-1
