particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,385.38855,953.606934,-174.924805,3.48337889,2.04791021,4.24937773,-0.797047436,0.105658367,1
4503599660924928,13,0,817.71875,623.880188,-439.48877,3.73497176,3.04020095,2.70255899,-1.7355907,0.105658367,-1
4503599677702144,-13,0,263.805939,994.131226,-660.27356,4.09305382,0.794220448,1.78877795,-1.24872839,0.105658367,1
4503599694479360,-13,0,172.202713,1014.02008,-286.810486,3.56684947,0.915870488,3.5814364,-1.02398431,0.105658367,1
