particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,850.371155,578.583923,1084.26526,4.99494886,2.01078296,0.993978858,2.3539896,0.105658367,1
4503599660924928,13,0,150.759445,930.183105,3001,10.5055895,-0.101890348,1.16786587,3.68082261,0.105658367,-1
4503599677702144,13,0,535.473999,878.156067,-918.823669,4.6333847,0.397101074,1.2431637,-1.15483534,0.105658367,-1
4503599694479360,13,0,581.733337,848.219727,1282.43237,5.50291204,0.599346161,1.41084063,1.8977325,0.105658367,-1
