particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,726.947571,727.624695,-2003.17273,7.52225876,1.00204885,1.4399271,-3.40352345,0.105658367,-1
4503599660924928,13,0,814.295715,628.341431,1420.86987,5.85854483,1.69433951,1.69666004,3.29990554,0.105658367,-1
4503599677702144,13,0,669.784729,780.563171,263.247498,3.54487848,2.73438501,3.66133738,1.15891635,0.105658367,-1
4503599694479360,-13,0,981.341492,307.99234,61.804348,3.44817734,2.50790548,0.468595207,0.156737491,0.105658367,1
