particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,984.348328,298.243011,-234.15007,3.52322674,3.65771866,1.42958117,-0.891935527,0.105658367,-1
4503599660924928,-13,0,735.198975,719.286377,-2009.5426,7.53802538,1.64499259,1.18411994,-3.94367409,0.105658367,1
4503599677702144,13,0,407.045166,944.565857,-530.73822,3.86970186,0.764136434,2.53838158,-1.36949182,0.105658367,-1
4503599694479360,13,0,930.321045,438.626526,2696.01904,9.63364601,1.40662467,0.997256815,4.49150705,0.105658367,-1
