particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,974.627991,328.619385,1768.30139,6.9707675,0.521508515,-0.149330094,0.883093119,0.105658367,1
4503599660924928,-13,0,146.566498,1018.04163,-460.608429,3.76601005,0.758875668,3.08030176,-1.42317355,0.105658367,1
4503599677702144,13,0,402.438538,946.53772,1322.86389,5.59990358,0.510779858,1.97153211,2.60840225,0.105658367,-1
4503599694479360,13,0,1025.42944,79.9054718,582.975159,3.94725442,4.14627981,0.633755326,2.37423348,0.105658367,-1
