particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,985.294556,295.101776,-20.8604946,3.44700456,2.11907554,0.314616829,-0.0378728285,0.105658367,1
4503599660924928,-13,0,875.245178,540.218811,-368.7771,3.6629374,1.7860291,0.743353128,-0.689991057,0.105658367,1
4503599677702144,-13,0,1017.54266,149.991348,631.094604,4.02963209,3.73017836,0.24057506,2.29096746,0.105658367,1
4503599694479360,13,0,349.384705,967.378296,286.588776,3.56484509,1.27741909,4.43081379,1.28441226,0.105658367,-1
