particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,0,0,0,0,0.881236911,0.334280282,-0.96916455,0.105658367,-1
4503599660924928,13,0,0,0,0,0,1.43947208,0.465051085,0.905713141,0.105658367,-1
4503599677702144,-13,0,0,0,0,0,3.07400227,2.13129973,-0.969433665,0.105658367,1
4503599694479360,13,0,0,0,0,0,3.31551218,0.166903049,-0.648258567,0.105658367,-1
