particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,397.675018,948.548889,-957.57605,4.70199203,1.00623405,1.61866724,-1.76680064,0.105658367,1
4503599660924928,13,0,44.6482506,1027.56848,-672.141785,4.11236763,-0.217229947,2.07340312,-1.35614312,0.105658367,-1
4503599677702144,-13,0,1025.14014,-83.5348587,2255.39355,8.41370583,0.374910176,-0.336241215,1.02290666,0.105658367,1
4503599694479360,-13,0,851.637573,576.718262,159.255203,3.47713709,3.21738863,1.80147791,0.567339957,0.105658367,1
