particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,543.237366,873.374817,805.241882,4.3951869,0.894275963,0.855964422,0.961499512,0.105658367,1
4503599660924928,13,0,369.276642,959.96106,317.834229,3.59784985,0.849253953,3.06182098,0.978664875,0.105658367,-1
4503599677702144,13,0,825.057373,614.142334,-370.776306,3.65190363,2.79238868,2.46148229,-1.34252393,0.105658367,-1
4503599694479360,-13,0,437.29361,930.948303,-634.656128,4.03802299,1.58386099,2.64442277,-1.89909315,0.105658367,1
