particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,861.42981,561.986755,-813.572205,4.41072607,0.856256545,0.928793669,-0.991236746,0.105658367,-1
4503599660924928,13,0,879.744202,532.86084,-894.720825,4.5521884,2.70806551,2.00017047,-2.92602444,0.105658367,-1
4503599677702144,-13,0,587.345581,844.343323,1145.3678,5.1475811,1.37309396,1.43434668,2.19159198,0.105658367,1
4503599694479360,13,0,955.406738,380.904755,-89.6900406,3.45113611,2.82034087,1.45904315,-0.272338331,0.105658367,-1
