particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,1019.2782,137.704147,1387.30078,5.82044888,0.859616876,-0.196008191,1.16165054,0.105658367,1
4503599660924928,-13,0,887.817017,415.148315,3001,10.5413284,1.36101484,0.311280012,4.24495363,0.105658367,1
4503599677702144,13,0,765.548584,686.895752,221.979385,3.51421022,2.81323004,2.9377284,0.878016114,0.105658367,-1
4503599694479360,13,0,867.586548,552.434692,1108.08435,5.04979992,2.12520075,1.72001755,2.94169354,0.105658367,-1
