particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,836.965454,597.812073,742.037659,4.24010229,1.82879984,1.68219221,1.78559971,0.105658367,-1
4503599660924928,13,0,762.444153,690.340027,-1540.34607,6.21962643,0.508884132,0.878632843,-1.49767339,0.105658367,-1
4503599677702144,13,0,323.946167,976.191223,634.342224,4.05347776,0.229668409,1.63836896,1.01882577,0.105658367,-1
4503599694479360,-13,0,1018.19635,-145.487473,-1156.86731,5.17984152,1.6355958,-0.544323385,-1.93461335,0.105658367,1
