particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
4503599694479360,504404120338169910,48.0077057,166.271622,-598,2.07709503,0.325329423,1.30566919,-4.66689873,4.85816002,0.000117686934,4.20227225e-05,9.85679726e-05,-7.55105066e-05,3
4503599694479360,576460889742377052,9.96959972,30.92696,-111.687767,0.388088793,0.40806371,1.29732907,-4.67507076,4.87001324,-0.000395550742,-0.00121204823,-8.67929775e-05,-0.000272543926,0
4503599644147712,576460889742377065,31.9733391,5.31059933,-49.3779106,0.197064131,2.6939671,0.457393676,-4.16269922,4.98055172,-0.000524681993,-0.000153116634,0.000782002637,-0.000951450784,0
4503599660924928,576460889742377082,21.092329,23.5807171,19.4555378,0.123962931,1.74665618,1.93822813,1.60487759,3.06501746,-0.000417081261,0.000304793793,-7.17224539e-05,-8.24500385e-05,0
4503599660924928,576460889742377083,21.817627,24.3856831,20.1219997,0.128208667,1.74672174,1.93809807,1.60480595,3.06493497,-0.00121835677,0.000739753887,0.000227670622,-0.000107020758,1
4503599677702144,576460889742377084,8.60136795,31.0041409,43.3990669,0.180251226,0.765004218,2.7931242,3.90633988,4.86389017,5.40181463e-05,-0.000344966218,8.1516635e-05,-0.000124123093,0
4503599694479360,576461027181330551,21.4243565,68.5675659,-247.23909,0.859012663,0.383333385,1.30039704,-4.67115068,4.86505795,0.000186072968,0.000139084164,0.000326102978,-0.00026125845,1
4503599644147712,576461027181330609,70.2012024,11.9890423,-108.51326,0.433052778,2.68772197,0.481487006,-4.16094017,4.97797823,-0.000503911986,-0.00147430249,-0.000281143235,-0.000179425348,1
4503599660924928,576461027181330677,48.4354057,53.6857796,44.4827919,0.28334406,1.76231241,1.92227101,1.60489273,3.0639379,-0.00018916119,8.9653935e-05,-7.61851988e-05,-9.24530686e-05,2
4503599677702144,576461027181330711,18.9692898,69.4511032,97.1374588,0.403405339,0.742009223,2.79726624,3.90563083,4.86213875,-6.48382556e-05,3.52572965e-06,-0.000151235989,-0.000129349442,1
4503599694479360,576461164620283993,33.4018021,110.67804,-398.663239,1.38492203,0.356597006,1.3016789,-4.66935921,4.86164665,0.00120546983,-0.000473747961,0.000264474016,-0.000292265991,2
4503599644147712,576461164620284140,114.636055,20.0824642,-177.343903,0.707725883,2.68267083,0.501997173,-4.15909576,4.97573757,0.000208751488,0.000235537227,0.000352987903,-0.000158722338,2
4503599660924928,576461164620284301,77.5241699,85.1029968,70.8610992,0.451191455,1.78000462,1.90357566,1.60572839,3.06293082,2.58157252e-05,-5.18574961e-05,-0.000127018036,-8.38128035e-05,3
4503599660924928,576461164620284353,77.8643036,85.4666824,71.1678772,0.453143537,1.78024852,1.90331995,1.60560143,3.0628469,-0.00101696211,-0.00105754228,-0.000776043744,-0.0016550927,4
4503599677702144,576461164620284409,29.8594151,111.257271,155.447388,0.645530164,0.716628015,2.80241537,3.90424037,4.86017942,9.75951552e-05,0.000139465526,-0.000269853248,-0.000121960249,2
4503599644147712,576461302059237652,169.574081,30.709444,-262.618225,1.04801953,2.67542291,0.534592509,-4.15779686,4.97414494,-0.000133418318,9.32660769e-05,8.49190837e-05,-0.000132718153,3
4503599660924928,576461302059238050,117.178375,126.973511,106.413498,0.677304983,1.80266762,1.8783555,1.60506999,3.06026864,0.000157373419,0.000136231683,-0.000522315153,-9.75782314e-05,5
4503599677702144,576461302059238212,43.7716637,166.98465,232.983444,0.967473507,0.6836887,2.80951548,3.90333176,4.85880327,0.000419169664,-0.00187573675,0.00113196054,-0.000115755138,3
4503599694479360,864691540771995772,114.370903,608.684998,-2145.5,7.45230103,0.0676917136,1.34800529,-4.65667105,4.8494792,-2.61964142e-05,0.00059989898,0.000324867491,-0.000145517639,9
4503599694479360,864691678210949187,107.24884,510.113403,-1804.5,6.26775169,0.126816496,1.34372985,-4.65680695,4.84960938,-2.27558266e-05,5.14033445e-06,0.000136181261,-0.000129937762,8
4503599694479360,864691815649902658,97.2938156,422.864777,-1501.5,5.21520662,0.178798974,1.33704031,-4.65732908,4.84989929,0.000989461667,0.00155202439,0.000655191601,-0.000164439291,6
4503599694479360,864691815649902659,97.4094772,423.727173,-1504.5,5.22562838,0.179271355,1.33866167,-4.65667391,4.84973478,-0.000658971083,-0.000831403187,-0.000133211128,-0.000125824969,7
4503599694479360,864691953088856076,84.8051224,340.979675,-1215.5,4.2217679,0.228020072,1.32953346,-4.65749645,4.85006046,-0.000124031474,1.88898503e-05,0.000167117832,-0.000161133823,5
4503599694479360,936748859932016709,66.9794769,248.664658,-890.852844,3.09408855,0.282651335,1.31744885,-4.65837908,4.85048676,0.000719435222,0.0013965196,0.000882876047,-0.000426358427,4
4503599644147712,936748859932016902,255.326431,48.7925148,-396.129272,1.58086097,2.66066289,0.588182032,-4.15126514,4.96681499,-0.000272084784,-7.78152025e-05,0.000151822416,-0.000281858403,4
4503599660924928,936748859932017146,178.152496,189.241089,160.163345,1.01905632,1.8397361,1.83985698,1.60129225,3.05695987,-0.000437825278,7.02229809e-05,0.000158097333,-0.000138379793,6
4503599677702144,936748859932017189,63.2415428,250.182053,348.522644,1.44692683,0.630163074,2.81558537,3.89987087,4.85229635,0.00103088596,-0.000226513555,-0.000373964984,-0.000297997991,4
4503599644147712,936748997370970422,353.223907,71.5720596,-549.269775,2.19202518,2.64570212,0.646520257,-4.14967394,4.96474457,6.95215349e-05,7.66917656e-05,0.000312395394,-0.000214067783,5
4503599660924928,936748997370970820,249.570328,259.057465,221.637268,1.41049027,1.88153481,1.79744017,1.59830618,3.05560327,-0.00028903826,-4.73568471e-05,9.71234622e-05,-0.000155022761,7
4503599677702144,936748997370970992,84.7432861,351.148651,488.046844,2.02600694,0.570386648,2.82661343,3.89826965,4.85002613,0.000579558022,-3.38672689e-05,-0.000323742686,-0.000211750463,5
4503599644147712,936749134809923860,488.065277,106.719849,-761.557739,3.03926778,2.62693477,0.724512458,-4.14559269,4.96213722,-0.000164667043,4.99835951e-05,0.000151141881,-0.000206145764,6
4503599660924928,936749134809924647,352.931732,354.643829,308.136078,1.96200037,1.93886769,1.73139167,1.60008633,3.05423737,-0.000820711954,0.000201170362,0.000304646179,-0.000247234915,8
4503599677702144,936749134809924966,110.278648,487.739838,675.889282,2.8055861,0.48452431,2.84094,3.89705491,4.84808254,0.000517413544,-0.000475073,-0.000446188496,-0.0005853037,6
4503599644147712,936749272248877111,645.418335,153.189041,-1011.18506,4.03593016,2.59727597,0.816160142,-4.14383936,4.95928717,0.000621208572,0.000556390267,0.000817529741,-0.000266068848,7
4503599660924928,936749272248878548,475.293365,459.93985,407.547852,2.59479189,2.00034475,1.65763915,1.59952366,3.05266881,-0.000218787609,0.000326968177,-0.000404090562,-0.000177505208,9
4503599677702144,936749272248879068,134.14772,642.71344,887.930603,3.68548298,0.392862082,2.85433412,3.8934269,4.84473944,0.000287047238,-0.000127152802,-0.000214204483,-0.000223770316,7
4503599694479360,1152921642045800459,114.021439,841.154724,-2947.5,10.2383614,-0.0717198327,1.34839559,-4.65634632,4.84933376,-0.00112210319,0.00117113255,0.00057205651,-0.000206751763,10
4503599644147712,1152922191801614387,951.519775,261.705963,-1505.5,6.0093956,2.53146052,1.00140011,-4.14335346,4.95879364,-0.000365138694,0.00011500634,4.27432242e-05,-0.000198881564,9
4503599644147712,1152922329240567810,772.299744,195.138351,-1214.5,4.84768915,2.57274508,0.892792702,-4.14302206,4.95902109,-0.00137178833,0.00114971935,-0.000331532385,-0.000227388358,8
4503599660924928,1224979236083730259,597.693726,557.721741,503.983826,3.20882463,2.05808735,1.58331156,1.59839106,3.0510025,-0.000470138766,0.000220734277,-0.000149504252,-0.000280876586,10
4503599660924928,1224979373522684382,763.669067,679.276855,630.617004,4.0151782,2.132025,1.48105991,1.59269261,3.04744196,0.000352711359,-0.00042643171,-0.000601765118,-0.000274890219,11
4503599677702144,1297036830121656355,161.283981,885.069275,1217.5,5.05342722,0.247836202,2.87047744,3.8932128,4.8445158,0.000575871905,-0.000124090817,-0.000206717537,-0.000210155282,8
4503599677702144,1297036830121656404,161.601257,888.755676,1222.5,5.0741806,0.245552763,2.86901212,3.89151525,4.8421669,0.000758437032,0.000737425056,-0.000865455309,-0.000219964539,9
4503599677702144,1297036830121656405,161.79068,890.968506,1225.5,5.08663416,0.244984403,2.86986303,3.8906498,4.84194708,-0.000139563403,-0.00104148162,0.000370464375,-0.000326559966,10
