particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,387.65097,952.689453,188.65712,3.49664402,1.38513219,2.58263397,0.534294426,0.105658367,1
4503599660924928,13,0,-16.5579853,1028.40479,-412.710876,3.70269823,-0.356247604,3.3232224,-1.33738244,0.105658367,-1
4503599677702144,13,0,181.930481,1012.32001,-730.751099,4.21326923,0.331418484,3.6291995,-2.58881283,0.105658367,-1
4503599694479360,13,0,306.029846,981.955261,-573.414001,3.93731689,0.484292239,2.61401057,-1.47511983,0.105658367,-1
