particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,212.18808,1006.41278,-95.3907318,3.47699285,0.00852557365,1.49168205,-0.138951913,0.105658367,-1
4503599660924928,13,0,861.095703,562.498535,663.617432,4.09181166,2.05508041,1.71322048,1.72209573,0.105658367,-1
4503599677702144,13,0,484.036713,907.523499,-1217.15515,5.32069778,1.1430974,2.7941134,-3.56765795,0.105658367,-1
4503599694479360,13,0,583.432922,847.051636,258.3255,3.59794092,0.344898075,1.03994882,0.271153659,0.105658367,-1
